         317529 function calls (317121 primitive calls) in 2.478 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.056    0.056 turtle.py:1(<module>)
        1    0.000    0.000    0.078    0.078 turtle.py:1005(clear)
      156    0.000    0.000    0.000    0.000 turtle.py:1035(mode)
      314    0.001    0.000    0.022    0.000 turtle.py:1143(_colorstr)
       20    0.000    0.000    0.000    0.000 turtle.py:1214(turtles)
        2    0.000    0.000    0.085    0.043 turtle.py:1223(bgcolor)
        1    0.000    0.000    0.000    0.000 turtle.py:1246(tracer)
     2808    0.003    0.000    0.003    0.000 turtle.py:1289(_incrementudc)
       20    0.004    0.000    0.474    0.024 turtle.py:1298(update)
      154    0.000    0.000    0.001    0.000 turtle.py:1339(getshapes)
        3    0.000    0.000    0.000    0.000 turtle.py:1350(onclick)
        4    0.000    0.000    0.000    0.000 turtle.py:1367(onkey)
        1    0.000    0.000    0.000    0.000 turtle.py:1397(onkeypress)
        1    0.000    0.000    0.000    0.000 turtle.py:1429(listen)
        1    0.000    0.000    0.000    0.000 turtle.py:1511(TNavigator)
      156    0.001    0.000    0.002    0.000 turtle.py:1523(__init__)
      156    0.000    0.000    0.001    0.000 turtle.py:1533(reset)
      156    0.000    0.000    0.000    0.000 turtle.py:1541(_setmode)
      156    0.000    0.000    0.000    0.000 turtle.py:1556(_setDegreesPerAU)
      156    0.000    0.000    0.000    0.000 turtle.py:1565(degrees)
      400    0.000    0.000    0.000    0.000 turtle.py:1715(xcor)
      363    0.000    0.000    0.000    0.000 turtle.py:1729(ycor)
      177    0.001    0.000    0.011    0.000 turtle.py:1744(goto)
     2702    0.009    0.000    0.020    0.000 turtle.py:1829(distance)
        1    0.000    0.000    0.000    0.000 turtle.py:200(readconfig)
        1    0.000    0.000    0.000    0.000 turtle.py:2022(TPen)
      156    0.000    0.000    0.001    0.000 turtle.py:2026(__init__)
      156    0.000    0.000    0.000    0.000 turtle.py:2031(_reset)
      156    0.000    0.000    0.005    0.000 turtle.py:2096(penup)
      156    0.001    0.000    0.028    0.000 turtle.py:2177(color)
        2    0.000    0.000    0.000    0.000 turtle.py:2309(hideturtle)
      467    0.006    0.000    0.013    0.000 turtle.py:2337(pen)
        1    0.000    0.000    0.000    0.000 turtle.py:236(Vec2D)
        1    0.000    0.000    0.000    0.000 turtle.py:2482(_TurtleImage)
      156    0.000    0.000    0.011    0.000 turtle.py:2486(__init__)
      310    0.001    0.000    0.011    0.000 turtle.py:2491(_setshape)
     8582    0.005    0.000    0.008    0.000 turtle.py:250(__new__)
        1    0.000    0.000    0.000    0.000 turtle.py:2513(RawTurtle)
      156    0.003    0.000    0.033    0.000 turtle.py:2520(__init__)
     2772    0.004    0.000    0.006    0.000 turtle.py:258(__rmul__)
        8    0.000    0.000    0.000    0.000 turtle.py:2585(setundobuffer)
        8    0.000    0.000    0.001    0.000 turtle.py:2617(_clear)
     2702    0.004    0.000    0.006    0.000 turtle.py:262(__sub__)
        8    0.000    0.000    0.001    0.000 turtle.py:2631(clear)
     2808    0.005    0.000    0.008    0.000 turtle.py:2646(_update_data)
      970    0.001    0.000    0.001    0.000 turtle.py:2654(_update)
     5474    0.003    0.000    0.007    0.000 turtle.py:266(__abs__)
      312    0.000    0.000    0.022    0.000 turtle.py:2696(_colorstr)
      154    0.001    0.000    0.002    0.000 turtle.py:2754(shape)
      153    0.001    0.000    0.004    0.000 turtle.py:2781(shapesize)
     27/2    0.000    0.000    0.000    0.000 turtle.py:289(__methodDict)
     2772    0.009    0.000    0.031    0.000 turtle.py:2954(_polytrafo)
     2772    0.007    0.000    0.007    0.000 turtle.py:2963(<listcomp>)
     2772    0.007    0.000    0.013    0.000 turtle.py:2983(_getshapepoly)
        1    0.000    0.000    0.000    0.000 turtle.py:299(__methods)
    13770    0.006    0.000    0.006    0.000 turtle.py:2994(<genexpr>)
     2808    0.012    0.000    0.215    0.000 turtle.py:2996(_drawturtle)
        1    0.000    0.000    0.002    0.002 turtle.py:309(__forwardmethods)
        8    0.000    0.000    0.000    0.000 turtle.py:3118(clearstamps)
      177    0.002    0.000    0.010    0.000 turtle.py:3146(_goto)
      312    0.001    0.000    0.005    0.000 turtle.py:3282(_newLine)
        1    0.000    0.000    0.000    0.000 turtle.py:330(ScrolledCanvas)
        1    0.000    0.000    0.002    0.002 turtle.py:336(__init__)
